"","Race","Gender","traffic","Arrest","BondAmount","druggun","Patrol","Officer","Date","Day","Time","qol","UseOfForce","SearchConducted","Stopped","TimeZone"
"43","White","Man",FALSE,TRUE,2000,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2022-03-02,"Wed",00:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"44","Black","Man",FALSE,TRUE,1000,FALSE,"D2","JOHNSON, D. R. (21836)  ISB",2019-04-05,"Fri",11:39:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"45","Black","Man",FALSE,TRUE,NA,FALSE,"D2","DURAN, J.  (24256)  UPB",2020-02-17,"Mon",22:48:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"46","Black","Man",FALSE,FALSE,1000,TRUE,"D2","KELLAR, J. C. (20619)  ISB",2020-02-13,"Thu",23:01:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"47","White","Man",FALSE,FALSE,NA,TRUE,"D2","STRINGHAM, A. C. (13723)  UP",2020-03-05,"Thu",00:01:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"48","Black","Man",FALSE,FALSE,1000,TRUE,"D2","STARRITT, Z. B. (19801)  ISB",2019-03-06,"Wed",16:44:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"49","Black","Man",FALSE,TRUE,10000,FALSE,"D2","WAGSTAFF, J. H. (21147)  ISB",2020-03-07,"Sat",00:10:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"50","Black","Man",FALSE,TRUE,NA,FALSE,"D2","GRILLASCA, R. A. (19154)  UP",2021-08-23,"Mon",06:45:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"51","Black","Man",FALSE,FALSE,750000,FALSE,"D2","ALSTON, T. W. (14626)  UPB",2020-07-31,"Fri",06:52:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"52","Black","Man",FALSE,FALSE,500,FALSE,"D2","STOCKS, D.  (22250)  ISB",2019-02-07,"Thu",10:30:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"53","White","Man",FALSE,TRUE,NA,FALSE,"D2","SCHIEFERLY, N.  (21484)  UPB",2018-11-30,"Fri",16:30:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"54","Black","Man",FALSE,FALSE,NA,FALSE,"D2","MARTINEZ, L. E. (22151)  UPB",2021-01-11,"Mon",17:22:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"55","Black","Man",FALSE,FALSE,NA,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2021-06-06,"Sun",01:43:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"56","Black","Man",FALSE,TRUE,1000,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2021-06-06,"Sun",03:01:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"57","Black","Man",FALSE,FALSE,NA,FALSE,"D2","FONDAW, K. A. (25225)  UPB",2021-08-19,"Thu",18:58:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"58","Black","Man",FALSE,TRUE,NA,FALSE,"D2","BEST, C.  (23323)  UPB",2020-07-10,"Fri",20:55:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"59","Black","Man",FALSE,FALSE,10000,TRUE,"D2","FLORES, D.  (23379)  ISB",2022-02-10,"Thu",17:31:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"60","Black","Man",FALSE,TRUE,5000,TRUE,"D2","GREGORY, K. L. (18043)  ISB",2020-01-30,"Thu",12:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"61","Black","Man",FALSE,FALSE,NA,TRUE,"D2","STARRITT, Z. B. (19801)  ISB",2019-03-06,"Wed",16:59:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"62","Black","Man",FALSE,FALSE,1000,FALSE,"D2","GAMM, S. W. (25202)  UPB",2022-02-24,"Thu",01:42:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"63","White","Man",FALSE,FALSE,NA,FALSE,"D2","BAUMANN, A. E. (24392)  UPB",2020-10-19,"Mon",17:58:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"64","Black","Woman",FALSE,FALSE,NA,FALSE,"D2","YURECKA, J. U. (24998)  UPB",2021-08-09,"Mon",14:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"65","Black","Man",FALSE,FALSE,500,FALSE,"D2","WRAY, T. J. (24999)  UPB",2021-12-30,"Thu",19:21:00,TRUE,"Yes","Yes","Yes","US/Eastern"
"66","Black","Man",FALSE,TRUE,NA,FALSE,"D2","SCHIEFERLY, N.  (21484)  UPB",2019-01-16,"Wed",06:20:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"67","Black","Man",FALSE,TRUE,NA,TRUE,"D2","FINCH, P. J. (23328)  UPB",2021-01-20,"Wed",19:18:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"68","White","Man",FALSE,TRUE,NA,TRUE,"D2","MARTINEZ, L. E. (22151)  UPB",2019-01-27,"Sun",15:52:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"69","Black","Woman",FALSE,TRUE,NA,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2020-07-22,"Wed",07:05:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"70","Black","Man",FALSE,TRUE,NA,TRUE,"D2","WILKING, J. J. (14639)  ISB",2019-05-15,"Wed",15:02:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"71","Black","Man",FALSE,FALSE,NA,FALSE,"D2","FINCH, P. J. (23328)  UPB",2020-08-21,"Fri",17:15:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"72","White","Man",TRUE,FALSE,7500,FALSE,"D2","HEUSTIS, S.  (23380)  UPB",2021-12-30,"Thu",01:13:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"73","White","Man",FALSE,FALSE,5000,FALSE,"D2","NOBLES, H.  (22896)  UPB",2019-04-07,"Sun",22:11:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"74","White","Man",FALSE,FALSE,2000,FALSE,"D2","HEUSTIS, S.  (23380)  UPB",2019-11-29,"Fri",22:25:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"75","Black","Man",FALSE,TRUE,10000,FALSE,"D2","STARRITT, Z. B. (19801)  ISB",2019-12-07,"Sat",18:03:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"76","Black","Man",FALSE,TRUE,10000.1,FALSE,"D2","STARRITT, Z. B. (19801)  ISB",2019-12-07,"Sat",18:13:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"77","White","Man",FALSE,FALSE,250,FALSE,"D2","CHOLULA, J.  (23796)  UPB",2022-05-17,"Tue",18:55:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"78","White","Woman",FALSE,TRUE,3000,FALSE,"D2","CONE, R. M. (17526)  UPB",2022-04-12,"Tue",13:23:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"79","Black","Man",FALSE,FALSE,NA,FALSE,"D2","DAVIS, T. J. (24963)  UPB",2021-12-25,"Sat",20:05:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"80","White","Man",FALSE,TRUE,NA,TRUE,"D2","WALKER, S. M. (24388)  UPB",2020-09-06,"Sun",14:16:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"81","Black","Man",FALSE,TRUE,NA,TRUE,"D2","SHEPARD, A. J. (13659)  ISB",2019-01-12,"Sat",19:53:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"82","Black","Man",FALSE,FALSE,NA,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2020-12-29,"Tue",22:12:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"83","Black","Man",FALSE,FALSE,NA,FALSE,"D2","DANIELS, J. A. (18085)  ISB",2019-03-08,"Fri",18:08:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"84","Black","Man",FALSE,FALSE,NA,FALSE,"D2","DANIELS, J. A. (18085)  ISB",2019-03-08,"Fri",18:08:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"85","Black","Man",FALSE,TRUE,NA,TRUE,"D2","HARRIS, F. L. (19806)  UPB",2020-09-29,"Tue",12:24:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"86","White","Man",FALSE,FALSE,2000,TRUE,"D2","BAUMANN, A. E. (24392)  UPB",2021-02-02,"Tue",04:33:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"87","White","Woman",FALSE,FALSE,2500,FALSE,"D2","COOPER, M. W. (22871)  UPB",2019-01-18,"Fri",21:52:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"88","White","Man",FALSE,TRUE,NA,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2021-11-05,"Fri",23:36:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"89","Black","Man",FALSE,TRUE,NA,FALSE,"D2","HUMPHREY, R.  (10049)  UPB",2021-02-13,"Sat",20:36:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"90","Black","Man",FALSE,TRUE,NA,FALSE,"D2","STRINGHAM, A. C. (13723)  UP",2020-03-05,"Thu",06:30:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"91","Black","Man",FALSE,FALSE,7500,TRUE,"D2","BEST, C.  (23323)  UPB",2019-04-09,"Tue",23:24:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"92","Black","Man",FALSE,FALSE,NA,FALSE,"D2","HUFHAM, K. H. (22842)  UPB",2018-11-17,"Sat",21:48:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"93","Black","Man",FALSE,FALSE,5000,FALSE,"D2","MARTINEZ, L. E. (22151)  UPB",2019-12-11,"Wed",23:26:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"94","Black","Man",FALSE,TRUE,NA,FALSE,"D2","STEWART, J. M. (21145)  ISB",2020-02-13,"Thu",23:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"95","Black","Man",FALSE,FALSE,500,FALSE,"D2","MONROE, D.  (21382)  UPB",2020-03-04,"Wed",00:14:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"96","Black","Man",FALSE,TRUE,20000,FALSE,"D2","HEUSTIS, S.  (23380)  UPB",2019-02-20,"Wed",08:50:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"97","Black","Man",FALSE,FALSE,NA,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2021-03-23,"Tue",20:58:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"98","White","Woman",FALSE,FALSE,NA,FALSE,"D2","MONROE, D.  (21382)  UPB",2019-10-22,"Tue",18:25:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"99","Black","Man",FALSE,FALSE,NA,FALSE,"D2","FINCH, P. J. (23328)  UPB",2020-08-06,"Thu",05:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"100","Black","Man",FALSE,TRUE,150000,FALSE,"D2","QUATTRO, L.  (23977)  UPB",2020-02-21,"Fri",15:40:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"101","Black","Woman",FALSE,FALSE,NA,FALSE,"D2","FENNELL, C. A. (12411)  UPB",2021-11-21,"Sun",00:59:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"102","White","Man",FALSE,FALSE,50000,FALSE,"D2","GAMM, S. W. (25202)  UPB",2022-03-24,"Thu",23:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"103","Black","Man",FALSE,TRUE,25000,FALSE,"D2","ORTIZ, A.  (23815)  UPB",2020-10-06,"Tue",16:44:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"104","White","Man",FALSE,FALSE,1000,FALSE,"D2","BEST, C.  (23323)  UPB",2019-08-01,"Thu",22:24:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"105","White","Man",FALSE,TRUE,NA,FALSE,"D2","QUATTRO, L.  (23977)  UPB",2021-12-12,"Sun",23:30:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"106","White","Man",FALSE,TRUE,NA,FALSE,"D2","FINCH, P. J. (23328)  UPB",2020-05-19,"Tue",15:24:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"107","Black","Woman",FALSE,FALSE,NA,FALSE,"D2","HARRIS, J. E. (17141)  UPB",2019-03-17,"Sun",03:24:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"108","White","Woman",FALSE,TRUE,NA,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2019-10-25,"Fri",15:11:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"109","White","Man",FALSE,FALSE,NA,FALSE,"D2","FINCH, P. J. (23328)  UPB",2019-10-13,"Sun",02:46:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"110","White","Man",TRUE,FALSE,3000,FALSE,"D2","MARTINEZ, L. E. (22151)  UPB",2020-09-27,"Sun",02:04:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"111","White","Man",TRUE,FALSE,5000,FALSE,"D2","HARRIS, J. E. (17141)  UPB",2022-03-12,"Sat",00:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"112","White","Man",FALSE,TRUE,NA,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2020-02-25,"Tue",03:25:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"113","Black","Man",FALSE,TRUE,5000,FALSE,"D2","FINCH, P. J. (23328)  UPB",2020-05-13,"Wed",22:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"114","Black","Woman",FALSE,TRUE,NA,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2019-02-05,"Tue",23:14:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"115","Black","Woman",FALSE,TRUE,5000,FALSE,"D2","EVANS, R. C. (24193)  UPB",2021-03-12,"Fri",14:02:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"116","Black","Woman",FALSE,TRUE,2000,FALSE,"D2","EVANS, R. C. (24193)  UPB",2021-03-12,"Fri",14:47:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"117","Black","Woman",FALSE,TRUE,5000,FALSE,"D2","EVANS, R. C. (24193)  UPB",2021-03-12,"Fri",14:59:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"118","Black","Man",FALSE,TRUE,NA,TRUE,"D2","THOMPSON, C.  (22265)  ISB",2021-10-07,"Thu",13:07:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"119","Black","Man",FALSE,TRUE,NA,FALSE,"D2","CORNATZER, R. S. (5466)  UPB",2019-02-14,"Thu",10:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"120","Black","Man",FALSE,FALSE,NA,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2019-10-11,"Fri",02:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"121","White","Man",FALSE,FALSE,NA,FALSE,"D2","RAINEY, D. D. (22877)  UPB",2021-05-20,"Thu",11:57:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"122","White","Man",TRUE,FALSE,NA,FALSE,"D2","WALKER, S. M. (24388)  UPB",2020-08-02,"Sun",01:23:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"123","White","Man",FALSE,FALSE,10000,FALSE,"D2","FLORIAN, J. P. (24708)  UPB",2020-08-03,"Mon",07:33:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"124","White","Man",FALSE,FALSE,2500,FALSE,"D2","FLORIAN, J. P. (24708)  UPB",2020-08-03,"Mon",10:41:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"125","White","Man",FALSE,FALSE,10000,FALSE,"D2","FLORIAN, J. P. (24708)  UPB",2020-08-03,"Mon",10:49:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"126","White","Man",FALSE,FALSE,1000,FALSE,"D2","FLORIAN, J. P. (24708)  UPB",2020-08-03,"Mon",10:57:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"127","White","Man",FALSE,FALSE,10000,FALSE,"D2","FLORIAN, J. P. (24708)  UPB",2020-08-03,"Mon",11:02:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"128","Black","Man",TRUE,FALSE,NA,FALSE,"D2","EVANS, R. C. (24193)  UPB",2021-01-01,"Fri",01:22:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"129","Black","Man",FALSE,TRUE,NA,FALSE,"D2","INTHISANE, R.  (23382)  UPB",2021-01-29,"Fri",03:57:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"130","Black","Man",FALSE,TRUE,1500,FALSE,"D2","BEST, C.  (23323)  UPB",2021-02-09,"Tue",19:54:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"131","Black","Woman",FALSE,TRUE,5000,FALSE,"D2","LYZENGA, K.  (24758)  UPB",2021-07-16,"Fri",12:46:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"132","Black","Woman",FALSE,FALSE,7500,FALSE,"D2","MARTINEZ, L. E. (22151)  UPB",2020-08-01,"Sat",22:59:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"133","Black","Man",FALSE,TRUE,NA,FALSE,"D2","UGOLICK, C.  (18583)  UPB",2019-12-07,"Sat",17:00:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"134","Black","Man",FALSE,FALSE,NA,FALSE,"D2","HARRIS, F. L. (19806)  UPB",2019-12-07,"Sat",18:02:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"135","Black","Man",FALSE,FALSE,1000,TRUE,"D2","OFFENBURG, K. I. (19127)  UP",2020-08-27,"Thu",21:45:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"136","White","Man",TRUE,FALSE,2000,FALSE,"D2","GOMEZ, E.  (23799)  UPB",2020-10-09,"Fri",05:47:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"137","White","Man",FALSE,FALSE,NA,FALSE,"D2","CONE, R. M. (17526)  UPB",2021-10-04,"Mon",20:30:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"138","Black","Man",FALSE,TRUE,1000,FALSE,"D2","COOPER, M. W. (22871)  UPB",2020-12-25,"Fri",17:44:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"139","Black","Man",FALSE,TRUE,1000,FALSE,"D2","COOPER, M. W. (22871)  UPB",2020-12-25,"Fri",17:44:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"140","Black","Man",FALSE,FALSE,NA,FALSE,"D2","MEMITA, I.  (24986)  UPB",2021-11-25,"Thu",00:14:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"141","Black","Man",FALSE,FALSE,1000,TRUE,"D2","STEWART, J. M. (21145)  ISB",2020-07-16,"Thu",17:59:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"142","Black","Woman",FALSE,TRUE,500,FALSE,"D2","QUATTRO, L.  (23977)  UPB",2021-07-30,"Fri",11:46:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"143","Black","Woman",FALSE,TRUE,NA,FALSE,"D2","QUATTRO, L.  (23977)  UPB",2021-07-30,"Fri",11:57:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"144","Black","Woman",FALSE,FALSE,1000,FALSE,"D2","MARTINEZ, L. E. (22151)  UPB",2019-10-28,"Mon",03:14:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"145","Black","Man",FALSE,TRUE,5000,FALSE,"D2","PARK, C.  (23316)  UPB",2022-02-15,"Tue",10:51:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"146","Black","Man",FALSE,TRUE,10000,FALSE,"D2","SHEPARD, A. J. (13659)  ISB",2019-01-31,"Thu",15:29:00,FALSE,"Yes","Yes","Yes","US/Eastern"
"147","Black","Man",FALSE,TRUE,2000,FALSE,"D2","UGOLICK, C.  (18583)  UPB",2019-07-17,"Wed",15:58:00,FALSE,"Yes","Yes","Yes","US/Eastern"
